event_id,event_name,event_group,event_type,start_date,end_date,start_year_month,end_year_month,event_span_type,visual_priority,use_in_report,strategy_input,data_available_flag,backtest_flag,calendar_role,event_description,event_note,source_file,source_variable,region,news_keywords,analyst_theme,shock_type,event_direction,severity,reference_flag,expected_etf_impact,source_note,caution
2019_japan_export_restrictions,Japan Export Restrictions,2019_japan_export_restrictions,market_event,2019-07-01,2019-12-31,2019-07,2019-12,window,2,appendix,False,True,True,post_hoc_interpretation_only,,,C:\quant_lec\quant_model\day5\day5_hsi_dynamic_allocation_project\AIQuant-2nd-project\src\market_event_calendar.py,market_event_calendar,Korea / Japan,"['Japan export restrictions', '수출규제', '화이트리스트', '소부장', '한일 갈등']","Supply-chain disruption, trade tension, domestic industrial resilience focus",trade_conflict,risk_off,3,True,"{'069500': 'negative', '114260': 'positive', '153130': 'positive'}",carried from original shock_calendar; team source check recommended,
2020_covid19_pandemic_korea_global,COVID-19 Pandemic Shock / K-Quarantine Period,2020_covid19_pandemic_korea_global,market_event,2020-01-20,2020-06-30,2020-01,2020-06,window,1,main,False,True,True,post_hoc_interpretation_only,,,C:\quant_lec\quant_model\day5\day5_hsi_dynamic_allocation_project\AIQuant-2nd-project\src\market_event_calendar.py,market_event_calendar,Korea / Global,"['COVID-19', 'coronavirus', '코로나', 'K-방역', 'pandemic', 'mobility collapse']","Pandemic shock, mobility collapse, policy response, defensive allocation demand",pandemic,risk_off,5,True,"{'069500': 'negative', '114260': 'positive', '153130': 'positive'}",carried from original shock_calendar; key crisis window for event-annotated HSI timeline,
2021_2024_china_real_estate_crisis,China Real Estate Crisis / Evergrande Spillover,2021_2024_china_real_estate_crisis,market_event,2021-09-01,2024-12-31,2021-09,2024-12,regime,3,appendix,False,True,True,post_hoc_interpretation_only,,,C:\quant_lec\quant_model\day5\day5_hsi_dynamic_allocation_project\AIQuant-2nd-project\src\market_event_calendar.py,market_event_calendar,China / Global / Korea,"['Evergrande', 'China real estate', '중국 부동산', '헝다', '부채위기']","China slowdown, spillover uncertainty, pressure on export-sensitive Korean market sentiment",macro_crisis,risk_off,3,True,"{'069500': 'negative', '114260': 'positive', '153130': 'positive'}",carried from original shock_calendar; use mainly as background regime,Long overlapping regime; do not interpret every month as a discrete shock.
2022_russia_ukraine_war,Russia-Ukraine War Shock,2022_russia_ukraine_war,market_event,2022-02-24,2022-03-31,2022-02,2022-03,window,1,main,False,True,True,post_hoc_interpretation_only,,,C:\quant_lec\quant_model\day5\day5_hsi_dynamic_allocation_project\AIQuant-2nd-project\src\market_event_calendar.py,market_event_calendar,Europe / Global,"['Russia-Ukraine', 'war', '러시아 우크라이나 전쟁', '지정학 리스크', 'commodity inflation']","Geopolitical shock, commodity inflation, risk-off and defensive demand",geopolitical_war,risk_off,4,True,"{'069500': 'negative', '114260': 'positive', '153130': 'positive'}",carried from original shock_calendar; key crisis window,
2022_2024_us_rate_hike_cycle,US Rate Hike Cycle / Higher-for-Longer Regime,2022_2024_us_rate_hike_cycle,market_event,2022-03-16,2024-12-31,2022-03,2024-12,regime,2,appendix,False,True,True,post_hoc_interpretation_only,,,C:\quant_lec\quant_model\day5\day5_hsi_dynamic_allocation_project\AIQuant-2nd-project\src\market_event_calendar.py,market_event_calendar,US / Global / Korea,"['Fed hike', 'rate hike', '긴축', '금리인상', '연준', 'higher for longer']","Monetary tightening, valuation compression, bond-duration pressure, cash preference",monetary_tightening,risk_off,4,True,"{'069500': 'negative', '114260': 'mixed', '153130': 'positive'}",Reuters reported the Fed's March 2022 liftoff and aggressive tightening path; use as long regime,Bond impact is mixed because rate hikes can hurt bond prices even when investors prefer defensive assets.
2022_itaewon_tragedy,Itaewon Tragedy,2022_itaewon_tragedy,market_event,2022-10-29,2022-10-29,2022-10,2022-10,point,3,appendix,False,True,True,post_hoc_interpretation_only,,,C:\quant_lec\quant_model\day5\day5_hsi_dynamic_allocation_project\AIQuant-2nd-project\src\market_event_calendar.py,market_event_calendar,Korea,"['Itaewon', 'tragedy', '이태원', '참사', '사회 충격']","Social trauma, domestic sentiment shock, temporary risk aversion",social_tragedy,risk_off,2,True,"{'069500': 'negative', '114260': 'positive', '153130': 'positive'}",carried from original shock_calendar; team source check recommended,
2023_2024_ai_semiconductor_cycle,AI / Semiconductor Upcycle,2023_2024_ai_semiconductor_cycle,market_event,2023-01-01,2024-12-31,2023-01,2024-12,regime,2,appendix,False,True,True,post_hoc_interpretation_only,,,C:\quant_lec\quant_model\day5\day5_hsi_dynamic_allocation_project\AIQuant-2nd-project\src\market_event_calendar.py,market_event_calendar,Global / Korea,"['AI', 'semiconductor', '반도체', '엔비디아', 'generative AI', 'HBM']","AI-led growth, semiconductor strength, risk-on support for Korean equity sentiment",tech_boom,risk_on,3,True,"{'069500': 'positive', '114260': 'neutral', '153130': 'neutral'}",carried from original shock_calendar; positive overlapping regime,"Overlaps with rate-hike and China-real-estate regimes, so conflict states may be meaningful."
2023_svb_banking_turmoil,Silicon Valley Bank Collapse / Banking Turmoil,2023_svb_banking_turmoil,market_event,2023-03-10,2023-03-31,2023-03,2023-03,window,2,appendix,False,True,True,post_hoc_interpretation_only,,,C:\quant_lec\quant_model\day5\day5_hsi_dynamic_allocation_project\AIQuant-2nd-project\src\market_event_calendar.py,market_event_calendar,US / Global,"['SVB', 'Silicon Valley Bank', 'bank failure', '은행위기', 'regional banks']","Financial-system confidence shock, liquidity preference, risk-off spillover to global markets",financial_stress,risk_off,3,True,"{'069500': 'negative', '114260': 'positive', '153130': 'positive'}",Reuters reported SVB as the largest bank failure since the 2008 financial crisis on 2023-03-10,
2023_israel_hamas_war,Israel-Hamas War / Middle East Risk,2023_israel_hamas_war,market_event,2023-10-07,2023-12-31,2023-10,2023-12,window,2,appendix,False,True,True,post_hoc_interpretation_only,,,C:\quant_lec\quant_model\day5\day5_hsi_dynamic_allocation_project\AIQuant-2nd-project\src\market_event_calendar.py,market_event_calendar,Middle East / Global,"['Israel-Hamas', 'Gaza', 'Middle East', 'oil', 'gold', '중동 리스크', '안전자산']","Geopolitical risk, oil-price and safe-haven response, possible risk-off spillover",geopolitical_war,risk_off,3,True,"{'069500': 'negative', '114260': 'positive', '153130': 'positive'}",Reuters reported oil and gold safe-haven responses after the October 2023 conflict escalation,
2024_korea_general_election,2024 Korea General Election,2024_korea_general_election,market_event,2024-04-10,2024-04-10,2024-04,2024-04,point,3,appendix,False,True,True,post_hoc_interpretation_only,,,C:\quant_lec\quant_model\day5\day5_hsi_dynamic_allocation_project\AIQuant-2nd-project\src\market_event_calendar.py,market_event_calendar,Korea,"['election', '총선', '국회의원 선거', '정치 일정', 'policy uncertainty']","Political event, policy expectation reset, possible short-term sector rotation",political_event,neutral,1,True,"{'069500': 'neutral', '114260': 'neutral', '153130': 'neutral'}",carried from original shock_calendar; use as neutral political event,
2024_trump_assassination_attempt,Trump Assassination Attempt / US Political Shock,2024_trump_assassination_attempt,market_event,2024-07-13,2024-07-13,2024-07,2024-07,point,3,appendix,False,True,True,post_hoc_interpretation_only,,,C:\quant_lec\quant_model\day5\day5_hsi_dynamic_allocation_project\AIQuant-2nd-project\src\market_event_calendar.py,market_event_calendar,US / Global,"['Trump', 'assassination attempt', '미국 대선', '정치 리스크', 'volatility']","US political shock, volatility disturbance, risk sentiment uncertainty",political_shock,risk_off,2,True,"{'069500': 'negative', '114260': 'positive', '153130': 'positive'}",carried from original shock_calendar; team source check recommended,
2024_crowdstrike_global_it_outage,Global IT Outage / CrowdStrike Incident,2024_crowdstrike_global_it_outage,market_event,2024-07-19,2024-07-21,2024-07,2024-07,window,3,appendix,False,True,True,post_hoc_interpretation_only,,,C:\quant_lec\quant_model\day5\day5_hsi_dynamic_allocation_project\AIQuant-2nd-project\src\market_event_calendar.py,market_event_calendar,Global,"['CrowdStrike', 'IT outage', 'global outage', '전산장애', '보안사고', 'Microsoft']","Technology infrastructure shock, operational disruption, temporary risk aversion",tech_operational_shock,risk_off,2,True,"{'069500': 'negative', '114260': 'positive', '153130': 'positive'}","Reuters reported a global outage affecting airlines, banking, healthcare and media on 2024-07-19",
2024_yen_carry_unwind_vol_spike,Global Equity Volatility Spike / Yen Carry Unwind,2024_yen_carry_unwind_vol_spike,market_event,2024-08-05,2024-08-05,2024-08,2024-08,point,1,main,False,True,True,post_hoc_interpretation_only,,,C:\quant_lec\quant_model\day5\day5_hsi_dynamic_allocation_project\AIQuant-2nd-project\src\market_event_calendar.py,market_event_calendar,Global,"['volatility spike', 'yen carry trade', 'risk-off', '글로벌 변동성', '엔캐리 청산']","Cross-asset de-risking, carry-trade unwind, global volatility shock",market_volatility_shock,risk_off,4,True,"{'069500': 'negative', '114260': 'positive', '153130': 'positive'}",Reuters described the August 2024 selloff as linked to carry-trade unwind and a global risk-off move,
2024_korea_martial_law_shock,Korea Martial-Law Emergency Shock,2024_korea_martial_law_shock,market_event,2024-12-03,2024-12-04,2024-12,2024-12,window,1,main,False,True,True,post_hoc_interpretation_only,,,C:\quant_lec\quant_model\day5\day5_hsi_dynamic_allocation_project\AIQuant-2nd-project\src\market_event_calendar.py,market_event_calendar,Korea,"['martial law', '비상계엄', '정치 충격', '헌정 위기', 'won', 'KOSPI']","Domestic political shock, abrupt uncertainty, liquidity support and market stabilization response",political_shock,risk_off,5,True,"{'069500': 'negative', '114260': 'positive', '153130': 'positive'}",Reuters reported South Korea market stabilization measures and stock/won stress after the martial-law bid,
2025_ai_rates_geopolitical_regime,"Ongoing AI, Rates, Tariff and Geopolitical Regime",2025_ai_rates_geopolitical_regime,market_event,2025-01-01,2025-12-31,2025-01,2025-12,regime,3,appendix,False,True,False,post_hoc_interpretation_only,,,C:\quant_lec\quant_model\day5\day5_hsi_dynamic_allocation_project\AIQuant-2nd-project\src\market_event_calendar.py,market_event_calendar,Global / Korea,"['AI', 'rates', 'tariffs', 'geopolitics', 'inflation', 'semiconductor']","AI leadership, higher-rate uncertainty, tariff shocks and geopolitical fragmentation",regime_shift,mixed,2,True,"{'069500': 'neutral', '114260': 'neutral', '153130': 'neutral'}","broad 2025 regime; use as background only, not a discrete crisis test",Too broad for direct crisis-window scoring. Prefer specific 2025 tariff / election events for tables.
2025_us_reciprocal_tariff_shock,US Reciprocal Tariff Shock / Liberation Day Tariffs,2025_us_reciprocal_tariff_shock,market_event,2025-04-02,2025-04-09,2025-04,2025-04,window,1,main,False,True,True,post_hoc_interpretation_only,,,C:\quant_lec\quant_model\day5\day5_hsi_dynamic_allocation_project\AIQuant-2nd-project\src\market_event_calendar.py,market_event_calendar,US / Global / Korea,"['Trump tariffs', 'Liberation Day', 'reciprocal tariffs', '관세', '무역전쟁', '보호무역']","Tariff shock, trade-war fear, global selloff, export-market uncertainty",trade_conflict,risk_off,4,True,"{'069500': 'negative', '114260': 'positive', '153130': 'positive'}",Reuters reported global market stress after sweeping US tariff announcements in April 2025,
2025_korea_presidential_election,2025 Korea Presidential Election / Political Normalization Test,2025_korea_presidential_election,market_event,2025-06-03,2025-06-04,2025-06,2025-06,window,2,appendix,False,True,True,post_hoc_interpretation_only,,,C:\quant_lec\quant_model\day5\day5_hsi_dynamic_allocation_project\AIQuant-2nd-project\src\market_event_calendar.py,market_event_calendar,Korea,"['Lee Jae-myung', 'presidential election', '대통령 선거', '정권교체', '정치 정상화']","Post-martial-law political transition, policy expectation reset, potential normalization of domestic risk premium",political_event,mixed,2,True,"{'069500': 'neutral', '114260': 'neutral', '153130': 'neutral'}",Reuters reported Lee Jae-myung's June 2025 election after the martial-law political crisis,"Treat as political transition event, not mechanically risk-on or risk-off."
