artifact_type,filename,recommended_folder,report_group,exists_in_download_workspace,size_bytes,note
table_csv,main_final_regime_robustness_tail_event_summary_with_fixed_bm.csv,output/tables,16 fixed BM,True,912,
table_csv,main_final_regime_robustness_decision_note_with_fixed_bm.csv,output/tables,16 fixed BM,True,742,
table_csv,main_final_report_candidate_shortlist_with_fixed_bm.csv,output/tables,20~23 fixed BM,True,1235,
table_csv,main_final_report_candidate_cost_pivot_with_fixed_bm.csv,output/tables,20~23 fixed BM,True,546,
processed_csv,main_final_report_candidate_timeseries_with_fixed_bm.csv,data/processed,20~23 fixed BM,True,365618,Fixed BM 포함 후보 월별 시계열. 보고서 그림 재생성에 사용 가능
figure_png,main_final_foundation_asset_risk_level.png,output/figures,00~05,True,25293,
figure_png,main_final_foundation_monthly_return_box.png,output/figures,00~05,True,37041,
figure_png,main_final_foundation_hsi_state_distribution.png,output/figures,00~05,True,55883,
figure_png,main_final_foundation_baseline_cumulative_return.png,output/figures,00~05,True,93163,
figure_png,main_final_foundation_baseline_drawdown.png,output/figures,00~05,True,162653,
figure_png,main_final_06_09_signal_combo_metric_comparison.png,output/figures,06~09,True,86489,
figure_png,main_final_06_09_event_balance_filter_metric_comparison.png,output/figures,06~09,True,61805,
figure_png,main_final_06_09_event_balance_filter_cumulative_return.png,output/figures,06~09,True,106746,
figure_png,main_final_06_09_event_balance_filter_drawdown.png,output/figures,06~09,True,154585,
figure_png,main_final_06_09_diagnostic_role_map.png,output/figures,06~09,True,39543,
figure_png,main_final_lambda_cumulative_return_selected.png,output/figures,10,True,104965,
figure_png,main_final_lambda_drawdown_selected.png,output/figures,10,True,173629,
figure_png,main_final_theta_family_comparison.png,output/figures,11,True,32265,
figure_png,main_final_theta_cumulative_return_selected.png,output/figures,11,True,115120,
figure_png,main_final_theta_drawdown_selected.png,output/figures,11,True,174639,
figure_png,main_final_theta_state_distribution.png,output/figures,11,True,42743,
figure_png,main_final_hsi_macro_overlap_type_counts.png,output/figures,12~13,True,65579,
figure_png,main_final_hsi_state_macro_risk_ratio.png,output/figures,12~13,True,62815,
figure_png,main_final_macro_companion_regime_counts.png,output/figures,12~13,True,80547,
figure_png,main_final_hsi_macro_risk_timeline.png,output/figures,12~13,True,216762,
figure_png,main_final_macro_rate_fx_z_scatter.png,output/figures,12~13,True,62228,
figure_png,main_final_macro_overlay_cumulative_return.png,output/figures,14,True,77767,
figure_png,main_final_macro_overlay_adjustment_by_overlap.png,output/figures,14,True,75375,
figure_png,main_final_macro_overlay_adjustment_by_state.png,output/figures,14,True,57981,
figure_png,main_final_lambda_macro_sensitivity_tradeoff.png,output/figures,15,True,155253,
figure_png,main_final_regime_robustness_period_cagr_with_fixed_bm.png,output/figures,16 fixed BM,True,54240,
figure_png,main_final_regime_robustness_period_mdd_with_fixed_bm.png,output/figures,16 fixed BM,True,51271,
figure_png,main_final_regime_robustness_state_avg_return_heatmap_with_fixed_bm.png,output/figures,16 fixed BM,True,94758,
figure_png,main_final_regime_robustness_tail_event_with_fixed_bm.png,output/figures,16 fixed BM,True,60201,
figure_png,main_final_benchmark_alignment_period_cagr.png,output/figures,17,True,52789,
figure_png,main_final_benchmark_alignment_period_mdd.png,output/figures,17,True,48717,
figure_png,main_final_benchmark_alignment_state_avg_return_heatmap.png,output/figures,17,True,104060,
figure_png,main_final_candidate_cumulative_return_selected_with_fixed_bm.png,output/figures,20~23 fixed BM,True,113240,
figure_png,main_final_candidate_drawdown_selected_with_fixed_bm.png,output/figures,20~23 fixed BM,True,209176,
figure_png,main_final_candidate_metric_comparison_with_fixed_bm.png,output/figures,20~23 fixed BM,True,59850,
figure_png,main_final_candidate_cost_sensitivity_with_fixed_bm.png,output/figures,20~23 fixed BM,True,50937,
report_md,main_final_hsi_overlay_result_report_with_fixed_bm_final.md,docs,최종 통합 보고서,True,16002,Fixed BM 기준을 반영한 최종 통합 보고서
report_md,main_final_finalization_checklist.md,docs,최종 점검,True,2092,제출 전 확인 체크리스트
table_csv,main_final_placeholder_audit.csv,output/tables,최종 점검,True,7786,placeholder/TODO audit
